tip_pos,protrusion,length,total_charge,nr_charged,identity,similarity,Hydropathy,Hydropathy_diff,nom1.0,nom3.0,nom5.0,nom7.0
99.0,5.5065782122534355,-0.6,-0.5,0.0,0.625,0.51,0.3755274261603375,0.0,0.13954404,0.0067166425,7.202159e-05,0.00015948174
99.0,7.7199738876107595,0.4,0.5,0.0,0.308,0.092,0.08860759493670879,0.0,0.9996842,0.95157367,0.0028574127,0.00059700094
99.0,5.5416971099700705,-0.6,0.0,1.0,0.875,0.911,-1.7721518987341771,0.0,0.0028182971,0.00017920067,0.0001358769,0.00084787764
98.0,5.404742037455483,-0.6,0.75,0.3333333333333333,0.625,0.565,-0.409282700421941,0.0,0.90741616,0.0026006442,8.374888e-05,0.00011552067
99.0,8.394424654413756,0.2,1.0,0.3333333333333333,0.5,0.391,-0.9620253164556959,0.0,0.9997396,0.5064989,0.0013318523,0.00031032393
97.0,4.465438699835192,0.0,0.0,-0.3333333333333333,0.455,0.224,1.308016877637131,0.0,0.99899143,0.5586278,0.00021220994,0.0001708445
99.0,6.607860497146791,-0.2,-1.0,1.0,0.5,0.288,-0.7721518987341771,7.285714285714291,0.9979838,0.0019449736,0.0003656722,0.0011788576
98.0,6.070833468947844,-0.2,0.5,0.0,0.6,0.508,-0.04219409282700425,0.0,0.9928865,0.45493248,6.046653e-05,0.0001590625
99.0,9.960641081275798,0.2,-1.0,0.3333333333333333,0.833,0.845,0.9071729957805909,8.428571428571434,0.007924776,0.0013804396,0.0005907395,0.0011576111
99.0,7.437132999709644,-0.2,-1.0,0.3333333333333333,0.6,0.667,0.4472573839662447,8.428571428571434,0.81133986,0.057194546,0.00032770523,0.0005090573
101.0,4.917967298898463,-0.2,0.0,-0.3333333333333333,0.5,0.339,0.42194092827004215,0.0,0.9987501,0.023542553,0.0005257365,0.0001661019
101.0,5.558629850275476,0.8,-0.5,0.6666666666666666,0.133,-0.104,0.45147679324894513,8.000000000000007,0.9980166,0.96336174,0.027733902,0.0023465091
99.0,5.582656554197123,1.8,-0.5,0.0,0.35,0.244,-0.0632911392405061,10.14285714285715,0.99960226,0.9995463,0.16542281,0.08002966
99.0,7.584709565129999,-0.6,0.0,-0.3333333333333333,0.5,0.404,1.2151898734177213,0.0,0.9853077,0.44817019,0.00013199396,0.00031296676
101.0,5.266234846294148,-0.4,0.25,0.0,0.444,0.291,-0.10126582278481013,3.428571428571431,0.9654406,0.47356135,0.0023012466,0.00015298549
101.0,6.458521201174718,-0.8,0.0,-0.3333333333333333,0.571,0.415,0.7130801687763713,0.0,0.9761509,0.0040464904,0.00023935964,0.00028561446
98.0,7.138110556505561,0.8,-1.0,0.3333333333333333,0.4,0.317,0.8481012658227847,0.0,0.99830186,0.97617865,0.0010157218,0.0013598423
98.0,8.634356868841232,-0.8,0.5,-0.6666666666666666,0.143,-0.25,0.9535864978902953,0.7142857142857149,0.9876057,0.47538394,0.002190556,0.0022918824
101.0,5.003380097777724,0.4,0.0,0.6666666666666666,0.385,0.212,-0.2616033755274261,0.0,0.9999223,0.52722377,0.01881586,0.00017672032
99.0,7.9238152138491005,1.4,-1.5,1.3333333333333333,0.278,0.157,-0.4430379746835443,2.7142857142857153,0.9936005,0.52941597,0.012108658,0.010609247
101.0,5.342591169006635,0.2,0.25,0.0,0.5,0.329,0.029535864978902978,0.0,0.9999424,0.9680221,0.0010262622,0.00014720068
101.0,5.400102424093759,-1.0,0.0,-0.3333333333333333,0.5,0.422,0.35021097046413496,0.0,0.9649677,0.03681011,0.00021189854,0.00014720068
99.0,5.778208720966367,-0.2,-0.5,0.0,0.5,0.273,-0.1940928270042193,0.0,0.9882754,0.4767857,0.00016104302,0.00011952289
98.0,6.024192456006215,-0.8,1.0,-0.3333333333333333,0.714,0.756,0.09282700421940918,0.0,0.9937775,0.008478741,5.8824295e-05,0.0001590625
99.0,6.480647558087247,-0.2,0.5,0.0,0.9,0.885,0.13502109704641346,0.0,0.013352993,0.012460822,6.6322966e-05,0.00026638163
99.0,6.443830678578629,-0.6,-0.5,0.0,0.625,0.659,0.37974683544303794,7.285714285714291,0.02914919,0.007188757,0.00027856184,0.000530028
101.0,5.240766296262921,0.6,0.0,-0.3333333333333333,0.143,-0.156,2.1856540084388185,3.428571428571431,0.9963748,0.5417246,0.017916737,0.00051436434
101.0,4.730674152877205,0.8,0.25,0.0,0.6,0.6,-0.1940928270042194,7.428571428571434,0.96904415,0.031139094,0.0022517936,0.0047674654
99.0,6.947407536291391,-0.2,-0.5,0.0,0.7,0.557,-0.22362869198312235,8.857142857142863,0.98850304,0.47928208,0.00028637907,0.0004159596
101.0,5.6775571735576005,0.4,0.75,0.3333333333333333,0.308,0.015,-0.48523206751054854,0.0,0.9993673,0.53262013,0.009568212,0.00019283406
99.0,11.040083811289268,0.8,-1.5,0.6666666666666666,0.6,0.529,-0.08438818565400842,0.0,0.9981616,0.5065172,0.0010998257,0.0008958468
101.0,5.6751043839611786,2.6,1.0,1.0,0.958,0.953,-0.763713080168776,0.0,0.010417921,0.005384875,0.0019349852,0.0010806496
99.0,10.674219270904338,0.8,0.25,0.6666666666666666,0.533,0.449,-0.7721518987341771,0.0,0.9993938,0.56089133,0.0043610022,0.00029485262
101.0,4.274409642720029,0.0,0.0,0.3333333333333333,0.364,0.203,-0.43037974683544294,0.0,0.9993174,0.06900546,0.00039526995,0.00017672032
98.0,7.018841204516797,-0.6,-1.0,0.3333333333333333,0.5,0.32,0.36286919831223624,10.14285714285715,0.96122175,0.008882903,0.0003941038,0.0004562671
101.0,4.670296207631334,-0.2,0.0,-0.3333333333333333,0.4,0.096,0.810126582278481,7.285714285714291,0.962301,0.49250892,0.0003994204,0.0004152116
97.0,6.54955120292124,-0.6,-1.0,0.3333333333333333,0.625,0.431,-0.4261603375527426,0.0,0.9809732,0.01701552,0.00044886983,0.00019818722
101.0,5.0796513062626785,-0.2,-0.5,0.0,0.5,0.344,1.2616033755274263,0.0,0.9995459,0.47962013,0.003306755,0.00019979128
101.0,6.179734334336941,1.0,-1.0,0.3333333333333333,0.5,0.393,0.20675105485232076,0.0,0.9993704,0.9798367,0.01110515,0.0002621203
99.0,7.867247278810706,1.0,-0.5,0.0,0.438,0.39,0.34599156118143454,7.142857142857148,0.9962915,0.9517034,0.007893592,0.0064845737
101.0,5.584487277415837,-0.2,-0.5,0.0,0.7,0.545,0.6497890295358649,0.0,0.9840694,0.032606892,0.000105621344,0.00017262233
98.0,6.261511930672121,0.2,0.0,0.3333333333333333,0.75,0.754,-0.2573839662447256,0.0,0.946159,0.0037837438,0.00021654015,0.00016256521
99.0,6.087976069179074,-0.4,-0.5,0.6666666666666666,0.556,0.283,-1.0548523206751055,0.0,0.9971233,0.010520785,0.0019944673,9.4886636e-05
99.0,6.626992004840245,1.0,0.0,1.0,0.312,0.241,-0.2616033755274263,0.0,0.999801,0.9715334,0.46932968,0.0016813108
