,local_AA,local_CA,global_AA,global_CA,blosum_dist
0,2.354,1.551,3.984,3.122,-4.754887502163469
0,3.728,2.503,8.035,6.913,-7.924812503605781
0,3.123,1.457,4.183,2.241,3.0
0,1.765,0.965,2.322,1.719,-4.754887502163469
0,5.929,3.923,6.912,5.304,-10.339850002884624
0,3.326,2.063,3.687,2.625,-6.965784284662087
0,1.389,1.236,1.573,1.547,4.0
0,7.488,5.448,9.554,7.881,-19.019550008653876
0,3.411,2.502,4.092,3.687,-7.169925001442313
0,4.202,2.934,5.080,3.716,-4.0
0,2.627,0.984,3.506,2.341,-2.0
0,4.866,2.712,5.817,4.547,-8.0
0,1.063,0.113,1.124,0.237,7.0
0,5.548,5.320,7.016,7.652,-13.931568569324174
0,1.357,0.523,1.520,0.849,2.0
0,4.685,2.778,6.267,4.819,-5.0
0,4.420,2.404,4.874,3.580,-6.339850002884625
0,0.770,0.291,1.029,0.598,12.0
0,4.717,1.759,6.096,3.717,-4.0
0,3.234,2.403,4.228,3.700,-5.0
0,3.219,1.758,3.967,3.585,-9.287712379549449
0,5.205,2.925,6.137,3.950,-11.229419688230417
0,1.256,0.424,1.354,0.570,7.0
0,3.943,2.475,6.476,6.773,-6.339850002884625
0,1.951,0.756,2.402,0.902,-6.0
0,5.543,4.556,11.313,10.194,-26.651484454403224
0,4.336,1.480,4.517,1.798,-5.0
0,4.125,2.075,5.007,3.830,-6.339850002884625
0,3.465,1.993,5.973,3.925,-7.924812503605781
0,4.124,3.077,5.310,4.345,-10.339850002884624
0,4.276,2.055,5.907,4.159,-14.0
0,5.195,4.070,5.372,4.811,5.614709844115208
0,7.128,6.006,12.150,10.565,-15.0
0,1.116,0.190,1.217,0.415,8.0
0,3.101,1.551,4.576,3.633,10.0
0,5.248,2.322,5.573,2.913,-6.339850002884625
0,3.970,2.613,8.091,7.558,-7.924812503605781
0,0.934,0.204,1.168,0.864,21.0
0,3.155,2.114,3.403,2.504,0.0
0,6.614,5.348,12.488,12.295,-9.509775004326938
0,2.745,1.649,3.803,2.976,-10.339850002884624
0,2.078,0.965,2.328,1.262,-10.0
0,2.147,0.427,3.168,0.799,-4.0
0,1.227,0.234,1.329,0.476,7.0
0,3.614,1.931,4.223,2.408,-5.0
0,4.394,2.652,4.879,2.987,-6.0
0,5.209,3.683,6.526,5.191,-12.0
0,5.933,4.378,10.599,8.223,-21.0
0,6.354,4.680,8.642,7.976,-15.509775004326936
0,4.784,2.348,6.592,5.063,-18.0
0,4.596,1.656,4.669,1.767,-3.1699250014423126
0,2.782,2.257,3.317,2.838,-8.0
0,4.548,1.952,8.831,5.964,-2.0
0,3.024,1.485,3.674,2.249,-4.0
0,3.617,1.929,6.456,4.972,-23.21928094887362
0,1.022,0.210,1.064,0.316,6.965784284662087
0,3.574,2.270,4.195,3.170,-10.339850002884624
0,3.640,2.346,4.470,3.645,-4.754887502163469
