,local_AA,local_CA,global_AA,global_CA,blosum_dist
0,3.024,1.485,3.674,2.249,-12.0
0,3.617,1.929,6.456,4.972,-22.0
0,1.022,0.210,1.064,0.316,11.60964047443681
0,3.574,2.270,4.195,3.170,-12.67970000576925
0,3.640,2.346,4.470,3.645,-15.849625007211563
0,1.681,0.910,2.384,1.786,-13.0
0,1.703,1.453,2.263,2.585,-16.0
0,2.971,1.334,3.226,1.915,10.0
0,4.235,2.160,4.612,3.166,-19.019550008653876
0,5.561,2.390,6.593,3.388,-22.0
0,3.809,1.835,4.019,2.193,-11.0
0,,,,,-36.49561398674886
0,4.770,3.385,5.303,4.226,-12.0
0,2.779,1.473,3.229,2.048,-19.03677461028802
0,3.927,3.218,11.168,10.722,-33.60451250937503
0,3.128,2.696,3.919,3.340,-25.84962500721156
0,2.835,1.801,3.373,2.344,-20.60451250937503
0,1.765,0.262,2.342,1.312,-9.0
0,4.613,3.436,6.668,5.462,-25.84962500721156
0,4.759,2.893,6.751,5.466,-39.302968908806456
0,0.969,0.228,1.058,0.540,10.339850002884624
0,3.991,2.123,5.433,3.577,-20.89735285398626
0,3.603,2.156,4.239,3.560,-7.0
0,5.457,4.621,7.118,6.662,-33.60451250937503
0,4.847,3.161,6.663,5.174,-20.60451250937503
0,5.117,3.174,7.252,5.051,-12.0
0,2.963,1.245,3.304,1.513,-12.0
0,5.550,3.336,7.807,6.911,-19.019550008653876
0,3.866,2.491,4.376,3.408,-15.849625007211563
0,3.488,2.374,7.517,6.104,-32.0
0,1.623,0.567,3.833,3.746,-12.0
0,1.733,0.751,1.826,0.857,-4.754887502163469
0,5.479,3.381,6.456,5.151,-36.49561398674886
0,3.355,2.370,4.408,4.238,-5.0
0,5.291,3.617,7.154,6.810,-26.0
0,0.948,0.341,0.965,0.503,0.0
0,1.499,0.224,1.692,0.861,-4.0
0,4.101,2.632,4.851,3.420,-11.0
0,5.639,3.553,7.542,6.666,-4.0
0,4.713,1.961,6.224,4.114,-11.094737505048094
0,6.472,4.505,14.229,12.284,-20.60451250937503
0,3.791,1.951,4.204,2.424,7.924812503605781
0,1.359,0.268,1.442,0.551,0.0
0,2.298,1.249,3.551,2.965,2.0
0,0.739,0.739,0.921,0.941,-14.0
0,2.249,1.296,4.743,4.538,-9.0
0,3.731,2.607,5.368,4.212,-14.0
0,1.132,0.257,1.479,0.711,7.924812503605781
0,4.445,3.440,7.427,7.431,-28.0
0,3.083,0.756,5.171,2.962,-6.339850002884625
0,5.001,2.148,7.117,6.328,-16.844129532345626
0,5.399,3.215,8.882,7.911,-34.0
0,2.700,2.129,4.440,4.080,-32.0
0,3.366,2.321,4.372,3.191,-24.0
0,2.382,1.801,4.767,4.020,-7.924812503605781
0,3.129,1.851,3.715,2.124,3.0
0,2.561,1.291,3.341,1.999,-7.924812503605781
0,2.993,1.088,3.278,1.439,-8.0
0,1.134,0.378,1.457,1.075,-11.094737505048094
0,2.355,2.355,4.941,4.931,-17.43458750793272
